row,repository,group,component,state,evidence,snapshot,source_paths
Tangle,tangle,Languages and research,Syntax,D,Security-labelled syntax and formal core were reviewed; this is not the catalogue’s former KRL conflation.,187509b346179fae340e8cbd1ad28285b8c7cef2; ## main...origin/main [ahead 5],dialects/braid-calculus/grammar-sketch.ebnf; dialects/quantum-circuit/grammar-sketch.ebnf; dialects/skein-algebra/grammar-sketch.ebnf
Tangle,tangle,Languages and research,Semantics,D,Security-labelled syntax and formal core were reviewed; this is not the catalogue’s former KRL conflation.,187509b346179fae340e8cbd1ad28285b8c7cef2; ## main...origin/main [ahead 5],docs/spec/FORMAL-SEMANTICS.md
Tangle,tangle,Languages and research,Type checker,F,A related filename was enumerated. Its existence establishes neither implementation nor correctness.,187509b346179fae340e8cbd1ad28285b8c7cef2; ## main...origin/main [ahead 5],compiler/lib/typecheck.ml; compiler/test/test_typecheck.ml
Tangle,tangle,Languages and research,Ownership / effects,?,No sufficient component assessment in this audit. This is not a claim of absence.,187509b346179fae340e8cbd1ad28285b8c7cef2; ## main...origin/main [ahead 5],
Tangle,tangle,Languages and research,AST,I,OCaml frontend and REPL implementation sources were inspected.,187509b346179fae340e8cbd1ad28285b8c7cef2; ## main...origin/main [ahead 5],compiler/lib/ast.ml; src/rust/src/ast.rs; src/rust/src/ast_jtv.rs
Tangle,tangle,Languages and research,Judgement / evidence graph,?,No sufficient component assessment in this audit. This is not a claim of absence.,187509b346179fae340e8cbd1ad28285b8c7cef2; ## main...origin/main [ahead 5],
Tangle,tangle,Languages and research,Lexer,I,OCaml frontend and REPL implementation sources were inspected.,187509b346179fae340e8cbd1ad28285b8c7cef2; ## main...origin/main [ahead 5],.github/workflows/secret-scanner.yml; bench/bench_lexer.ml; bench/bench_lexer.rs
Tangle,tangle,Languages and research,Parser,I,OCaml frontend and REPL implementation sources were inspected.,187509b346179fae340e8cbd1ad28285b8c7cef2; ## main...origin/main [ahead 5],bench/bench_parser.ml; bench/bench_parser_rust.rs; compiler/fuzz/fuzz_parser.ml
Tangle,tangle,Languages and research,Elaboration / IR,?,No sufficient component assessment in this audit. This is not a claim of absence.,187509b346179fae340e8cbd1ad28285b8c7cef2; ## main...origin/main [ahead 5],
Tangle,tangle,Languages and research,REPL,I,OCaml frontend and REPL implementation sources were inspected.,187509b346179fae340e8cbd1ad28285b8c7cef2; ## main...origin/main [ahead 5],compiler/lib/repl.ml
Tangle,tangle,Languages and research,LSP / debugger,F,A related filename was enumerated. Its existence establishes neither implementation nor correctness.,187509b346179fae340e8cbd1ad28285b8c7cef2; ## main...origin/main [ahead 5],compiler/tangle-lsp/Cargo.toml; compiler/tangle-lsp/docs/lsp-diagnostic-categories.md; compiler/tangle-lsp/src/backend.rs
